County of Santa Barbara,,,,,,,,,,,
Daily Rainfall Record - through 08-31-2020 ,,,,,,,,,,,
,,,,,,,,,,,
#255 - El Deseo Ranch,,,,,,,,,,,
"Lat 34-29-29, Long 119-41-44, Elev 3300 ft",,,,,,,,,,,
,,,,,,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,,,,,,
,,,,,,,,,,,
station id,water year,year,month,day,daily rain,code,,,,,
255,1967,1966,11,12,7.32,,,,,,
255,1967,1966,11,19,0.04,,,,,,
255,1967,1966,11,24,0.49,,,,,,
255,1967,1966,12,4,5.74,,,,,,
255,1967,1966,12,10,11.10,,,,,,
255,1967,1967,1,28,10.60,,,,,,
255,1967,1967,2,4,0.38,,,,,,
255,1967,1967,2,25,0.63,,,,,,
255,1967,1967,3,4,0.05,,,,,,
255,1967,1967,3,18,5.79,,,,,,
255,1967,1967,4,8,3.87,,,,,,
255,1967,1967,4,15,1.69,,,,,,
255,1967,1967,4,22,3.30,,,,,,
255,1967,1967,4,29,0.65,,,,,,
255,1968,1967,11,19,1.87,,,,,,
255,1968,1967,11,23,2.82,,,,,,
255,1968,1967,12,3,2.05,,,,,,
255,1968,1967,12,9,0.45,,,,,,
255,1968,1967,12,23,1.05,,,,,,
255,1968,1968,1,13,1.03,,,,,,
255,1968,1968,2,2,1.90,,,,,,
255,1968,1968,2,10,0.17,,,,,,
255,1968,1968,2,14,0.93,,,,,,
255,1968,1968,2,17,1.29,,,,,,
255,1968,1968,3,10,3.84,,,,,,
255,1968,1968,4,3,1.78,,,,,,
255,1969,1968,10,16,1.12,,,,,,
255,1969,1968,10,30,0.25,,,,,,
255,1969,1968,11,3,0.18,,,,,,
255,1969,1968,11,16,1.05,,,,,,
255,1969,1968,12,17,2.40,,,,,,
255,1969,1968,12,28,1.27,,,,,,
255,1969,1968,12,29,0.24,,,,,,
255,1969,1969,1,14,1.47,,,,,,
255,1969,1969,1,23,18.49,,,,,,
255,1969,1969,1,31,18.25,,,,,,
255,1969,1969,2,9,4.42,,,,,,
255,1969,1969,2,15,1.87,,,,,,
255,1969,1969,2,22,1.88,,,,,,
255,1969,1969,2,23,3.00,,,,,,
255,1969,1969,2,24,5.00,,,,,,
255,1969,1969,2,25,2.00,,,,,,
255,1969,1969,3,1,0.38,,,,,,
255,1969,1969,3,15,0.34,,,,,,
255,1969,1969,3,22,0.50,,,,,,
255,1969,1969,4,6,3.45,,,,,,
255,1969,1969,4,26,0.13,,,,,,
255,1970,1969,11,8,3.83,,,,,,
255,1970,1969,12,9,0.28,,,,,,
255,1970,1970,1,10,3.11,,,,,,
255,1970,1970,1,17,2.02,,,,,,
255,1970,1970,1,24,0.15,,,,,,
255,1970,1970,2,21,2.19,,,,,,
255,1970,1970,2,28,3.45,,,,,,
255,1970,1970,3,1,3.04,,,,,,
255,1970,1970,3,5,2.52,,,,,,
255,1971,1970,11,23,2.82,,,,,,
255,1971,1970,11,29,8.10,,,,,,
255,1971,1970,12,9,2.52,,,,,,
255,1971,1970,12,15,0.03,,,,,,
255,1971,1970,12,22,5.18,,,,,,
255,1971,1970,12,29,0.82,,,,,,
255,1971,1971,1,12,0.80,,,,,,
255,1971,1971,1,16,1.10,,,,,,
255,1971,1971,2,16,1.45,,,,,,
255,1971,1971,3,13,1.55,,,,,,
255,1971,1971,4,17,1.22,,,,,,
255,1971,1971,5,4,0.29,,,,,,
255,1971,1971,5,8,0.99,,,,,,
255,1971,1971,5,28,1.18,,,,,,
255,1972,1971,10,17,0.50,,,,,,
255,1972,1971,11,13,1.49,,,,,,
255,1972,1971,12,4,0.30,,,,,,
255,1972,1971,12,12,0.24,,,,,,
255,1972,1971,12,22,2.04,,,,,,
255,1972,1971,12,25,5.34,,,,,,
255,1972,1971,12,26,2.76,,,,,,
255,1972,1971,12,29,4.48,,,,,,
255,1972,1972,1,29,0.52,,,,,,
255,1972,1972,2,5,0.68,,,,,,
255,1973,1972,10,8,0.25,,,,,,
255,1973,1972,10,14,0.43,,,,,,
255,1973,1972,11,12,2.95,,,,,,
255,1973,1972,11,15,3.58,,,,,,
255,1973,1972,11,18,5.48,,,,,,
255,1973,1972,12,9,1.41,,,,,,
255,1973,1973,1,9,0.90,,,,,,
255,1973,1973,1,20,9.47,,,,,,
255,1973,1973,2,6,2.78,,,,,,
255,1973,1973,2,13,10.50,,,,,,
255,1973,1973,2,17,0.20,,,,,,
255,1973,1973,2,24,0.85,,,,,,
255,1973,1973,2,28,4.77,,,,,,
255,1973,1973,3,7,0.77,,,,,,
255,1973,1973,3,10,0.80,,,,,,
255,1973,1973,3,13,0.90,,,,,,
255,1973,1973,3,23,2.77,,,,,,
255,1974,1973,10,7,0.38,,,,,,
255,1974,1973,10,22,0.90,,,,,,
255,1974,1973,11,12,0.28,,,,,,
255,1974,1973,11,17,4.06,,,,,,
255,1974,1973,11,24,0.70,,,,,,
255,1974,1973,12,1,3.26,,,,,,
255,1974,1973,12,22,0.28,,,,,,
255,1974,1973,12,25,1.67,,,,,,
255,1974,1974,1,1,0.16,,,,,,
255,1974,1974,1,2,0.06,,,,,,
255,1974,1974,1,4,1.62,,,,,,
255,1974,1974,1,5,1.43,,,,,,
255,1974,1974,1,6,0.75,,,,,,
255,1974,1974,1,7,4.04,,,,,,
