County of Santa Barbara,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,
,,,,,,
#352 - Guadalupe City,,,,,,
"Lat 34-57-45, Long 120-34-17, Elev 85 ft",,,,,,
,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,
,,,,,,
station id,water year,year,month,day,daily rain,code
352,1921,1920,10,7,0.17,
352,1921,1920,10,18,0.17,
352,1921,1920,10,19,0.09,
352,1921,1920,11,6,2.26,
352,1921,1920,11,14,0.04,
352,1921,1920,11,15,0.20,
352,1921,1920,11,17,0.01,
352,1921,1920,11,19,0.03,
352,1921,1920,12,1,0.10,
352,1921,1920,12,8,0.27,
352,1921,1920,12,9,0.43,
352,1921,1920,12,11,0.27,
352,1921,1920,12,18,0.29,
352,1921,1920,12,19,0.12,
352,1921,1920,12,23,0.05,
352,1921,1920,12,24,0.06,
352,1921,1921,1,19,0.03,
352,1921,1921,1,20,0.03,
352,1921,1921,1,26,0.14,
352,1921,1921,1,27,0.66,
352,1921,1921,1,28,0.02,
352,1921,1921,1,29,0.30,
352,1921,1921,1,30,0.20,
352,1921,1921,2,13,0.83,
352,1921,1921,2,14,0.20,
352,1921,1921,2,16,0.42,
352,1921,1921,2,17,0.25,
352,1921,1921,2,20,0.60,
352,1921,1921,2,21,0.03,
352,1921,1921,3,5,0.02,
352,1921,1921,3,11,0.53,
352,1921,1921,3,22,0.09,
352,1921,1921,4,10,0.28,
352,1921,1921,4,12,0.02,
352,1921,1921,4,16,0.02,
352,1921,1921,5,4,0.37,
352,1921,1921,5,5,0.29,
352,1921,1921,5,6,0.03,
352,1921,1921,5,18,0.10,
352,1921,1921,5,20,0.63,
352,1921,1921,5,27,0.04,
352,1922,1921,9,1,0.11,
352,1922,1921,9,17,0.33,
352,1922,1921,10,2,0.02,
352,1922,1921,10,4,0.03,
352,1922,1921,11,2,0.47,
352,1922,1921,11,4,0.05,
352,1922,1921,11,13,0.02,
352,1922,1921,11,27,0.10,
352,1922,1921,11,30,0.01,
352,1922,1921,12,17,0.04,
352,1922,1921,12,18,0.83,
352,1922,1921,12,19,1.83,
