County of Santa Barbara,,,,,,,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,,,,,,,
,,,,,,,,,,,,
#421 - Figueroa Mtn,,,,,,,,,,,,
"Lat 34-44-04, Long 120-00-25, Elev 3250 ft",,,,,,,,,,,,
,,,,,,,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,,,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,,,,,,,
,,,,,,,,,,,,
station id,water year,year,month,day,daily rain,code,,,,,,
421,1961,1960,10,6,0.14,,,,,,,
421,1961,1960,11,3,0.99,,,,,,,
421,1961,1960,11,4,0.18,,,,,,,
421,1961,1960,11,5,1.75,,,,,,,
421,1961,1960,11,11,1.08,,,,,,,
421,1961,1960,11,17,1.43,,,,,,,
421,1961,1960,11,26,1.35,,,,,,,
421,1961,1960,12,2,1.20,,,,,,,
421,1961,1960,12,3,0.09,,,,,,,
421,1961,1960,12,10,0.05,,,,,,,
421,1961,1960,12,14,0.05,,,,,,,
421,1961,1961,1,25,0.56,,,,,,,
421,1961,1961,1,26,1.73,,,,,,,
421,1961,1961,1,31,0.05,,,,,,,
421,1961,1961,2,17,0.46,,,,,,,
421,1961,1961,3,29,1.30,,,,,,,
421,1961,1961,4,7,0.05,,,,,,,
421,1961,1961,4,22,0.55,,,,,,,
421,1961,1961,5,7,0.10,,,,,,,
421,1961,1961,5,19,0.42,,,,,,,
421,1961,1961,5,31,0.11,,,,,,,
421,1962,1961,9,16,0.06,,,,,,,
421,1962,1961,9,17,0.02,,,,,,,
421,1962,1961,11,20,2.30,,,,,,,
421,1962,1961,11,25,0.80,,,,,,,
421,1962,1961,11,29,0.14,,,,,,,
421,1962,1961,12,2,2.13,,,,,,,
421,1962,1961,12,3,0.54,,,,,,,
421,1962,1961,12,14,0.04,,,,,,,
421,1962,1962,1,13,0.34,,,,,,,
421,1962,1962,1,22,2.50,,,,,,,
421,1962,1962,2,7,1.14,,,,,,,
421,1962,1962,2,8,1.11,,,,,,,
421,1962,1962,2,13,7.05,,,,,,,
421,1962,1962,2,14,0.12,,,,,,,
421,1962,1962,2,15,0.73,,,,,,,
421,1962,1962,2,16,0.92,,,,,,,
421,1962,1962,2,17,0.11,,,,,,,
421,1962,1962,2,19,1.10,,,,,,,
421,1962,1962,2,20,0.54,,,,,,,
421,1962,1962,2,21,0.60,,,,,,,
421,1962,1962,2,26,0.35,,,,,,,
421,1962,1962,3,2,0.22,,,,,,,
421,1962,1962,3,5,0.40,,,,,,,
421,1962,1962,3,6,0.39,,,,,,,
421,1962,1962,3,9,0.06,,,,,,,
421,1962,1962,3,10,0.04,,,,,,,
421,1962,1962,3,16,0.02,,,,,,,
421,1962,1962,3,18,0.04,,,,,,,
