County of Santa Barbara,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,
,,,,,,
#429 - Refugio Pass,,,,,,
"Lat 34-31-48, Long 120-05-32, Elev 2610 ft",,,,,,
,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,
,,,,,,
station id,water year,year,month,day,daily rain,code
429,1996,1995,10,31,0.08,
429,1996,1995,11,1,0.28,
429,1996,1995,12,13,1.42,E236
429,1996,1995,12,14,0.35,E236
429,1996,1995,12,23,0.87,
429,1996,1995,12,24,0.04,
429,1996,1995,12,30,0.08,
429,1996,1996,1,17,0.55,
429,1996,1996,1,19,0.16,
429,1996,1996,1,22,0.24,
429,1996,1996,1,25,0.24,
429,1996,1996,1,26,0.04,
429,1996,1996,1,28,0.24,
429,1996,1996,1,31,1.57,
429,1996,1996,2,1,2.20,
429,1996,1996,2,2,0.08,
429,1996,1996,2,3,0.71,
429,1996,1996,2,4,0.79,
429,1996,1996,2,5,0.08,
429,1996,1996,2,6,0.31,
429,1996,1996,2,16,0.12,
429,1996,1996,2,18,0.04,
429,1996,1996,2,19,0.12,
429,1996,1996,2,20,5.39,
429,1996,1996,2,21,2.20,
429,1996,1996,2,22,0.59,
429,1996,1996,2,27,0.04,
429,1996,1996,2,28,0.35,
429,1996,1996,2,29,0.08,
429,1996,1996,3,4,0.24,
429,1996,1996,3,5,0.35,
429,1996,1996,3,11,0.04,
429,1996,1996,3,12,0.35,
429,1996,1996,3,13,1.54,
429,1996,1996,3,14,0.20,
429,1996,1996,3,29,0.04,
429,1996,1996,4,2,0.63,
429,1996,1996,4,10,0.04,
429,1996,1996,4,16,0.12,
429,1996,1996,4,17,0.16,
429,1996,1996,4,18,0.55,
429,1996,1996,5,16,1.26,
429,1996,1996,5,17,0.47,
429,1996,1996,5,22,0.04,
429,1996,1996,5,27,0.04,
429,1996,1996,5,28,0.04,
429,1996,1996,5,30,0.04,
429,1997,1996,9,14,0.04,
429,1997,1996,9,24,0.04,
429,1997,1996,10,25,0.04,
429,1997,1996,10,26,0.04,
429,1997,1996,10,30,4.61,
