County of Santa Barbara,,,,,,
Daily Rainfall Record - through 08-31-2020 ,,,,,,
,,,,,,
#440 - Goleta Fire Station,,,,,,
"Lat 34-26-35, Long 119-51-13, Elev 75 ft",,,,,,
,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,
"Codes: PR = Preliminary data,  P = Prorated, E = Estimated from nearby gauge",,,,,,
,,,,,,
station id,water year,year,month,day,daily rain,code
440,1942,1941,10,20,0.02,E401
440,1942,1941,10,21,0.09,E401
440,1942,1941,10,22,0.52,E401
440,1942,1941,10,23,0.03,E401
440,1942,1941,10,28,0.41,E401
440,1942,1941,11,30,0.45,E401
440,1942,1941,12,3,0.72,E401
440,1942,1941,12,10,0.95,E401
440,1942,1941,12,11,0.42,E401
440,1942,1941,12,13,0.39,E401
440,1942,1941,12,14,0.04,E401
440,1942,1941,12,15,0.48,E401
440,1942,1941,12,17,0.06,E401
440,1942,1941,12,26,0.19,E401
440,1942,1941,12,28,1.86,E401
440,1942,1941,12,29,0.33,E401
440,1942,1941,12,30,0.35,E401
440,1942,1942,1,2,0.03,E401
440,1942,1942,1,22,0.52,E401
440,1942,1942,1,26,0.44,E401
440,1942,1942,1,27,0.03,E401
440,1942,1942,2,22,1.18,E401
440,1942,1942,3,11,0.49,E401
440,1942,1942,3,15,1.43,E401
440,1942,1942,4,4,0.56,E401
440,1942,1942,4,6,0.09,E401
440,1942,1942,4,10,0.14,E401
440,1942,1942,4,11,0.04,E401
440,1942,1942,4,14,1.19,E401
440,1942,1942,4,17,0.43,E401
440,1942,1942,4,22,0.85,E401
440,1942,1942,8,10,0.14,E401
440,1943,1942,10,9,0.07,E401
440,1943,1942,10,29,0.85,E401
440,1943,1942,11,19,0.77,E401
440,1943,1942,12,19,0.05,E401
440,1943,1942,12,24,0.98,E401
440,1943,1942,12,25,0.53,E401
440,1943,1943,1,21,0.27,E401
440,1943,1943,1,22,5.89,E401
440,1943,1943,1,23,2.39,E401
440,1943,1943,1,24,0.36,E401
440,1943,1943,1,26,0.59,E401
440,1943,1943,1,27,0.56,E401
440,1943,1943,1,30,0.39,E401
440,1943,1943,1,31,0.35,E401
440,1943,1943,2,8,0.03,E401
