County of Santa Barbara,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,
,,,,,,
#474 - Santa Barbara City College,,,,,,
"Lat 34-24-19, Long 119-41-19, Elev 65 ft",,,,,,
,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,
,,,,,,
station id,water year,year,month,day,daily rain,code
474,1982,1981,10,1,0.19,
474,1982,1981,10,2,0.01,
474,1982,1981,10,29,0.26,
474,1982,1981,11,13,0.11,E
474,1982,1981,11,14,0.54,E
474,1982,1981,11,26,0.7,
474,1982,1981,11,27,0.6,
474,1982,1981,12,30,0.79,
474,1982,1981,12,31,0.15,
474,1982,1982,1,2,0.13,
474,1982,1982,1,4,0.04,
474,1982,1982,1,5,0.82,
474,1982,1982,1,20,0.69,
474,1982,1982,1,21,0.93,
474,1982,1982,1,30,0.03,
474,1982,1982,2,11,0.25,
474,1982,1982,3,2,0.5,
474,1982,1982,3,9,0.01,
474,1982,1982,3,11,0.36,
474,1982,1982,3,12,0.72,
474,1982,1982,3,13,0.01,
474,1982,1982,3,14,0.5,
474,1982,1982,3,15,0.2,
474,1982,1982,3,16,0.26,
474,1982,1982,3,17,1.25,
474,1982,1982,3,18,0.78,
474,1982,1982,3,19,0.02,
474,1982,1982,3,26,0.32,
474,1982,1982,3,29,0.06,
474,1982,1982,3,30,0.3,
474,1982,1982,3,31,0.04,
474,1982,1982,4,1,0.34,E
474,1982,1982,4,10,0.36,E
474,1982,1982,4,11,1.41,E
474,1983,1982,9,9,0.35,
474,1983,1982,9,10,0.01,
474,1983,1982,9,15,0.12,
474,1983,1982,9,22,0.02,
474,1983,1982,9,26,0.98,
474,1983,1982,9,28,0.01,
474,1983,1982,10,26,0.18,
474,1983,1982,10,27,0.03,
474,1983,1982,10,31,0.44,
474,1983,1982,11,9,0.3,
474,1983,1982,11,10,1.76,E
474,1983,1982,11,11,0.03,
474,1983,1982,11,18,0.48,
474,1983,1982,11,21,0.01,
474,1983,1982,11,29,0.85,
474,1983,1982,11,30,1.8,E
474,1983,1982,12,22,1.2,
474,1983,1982,12,23,0.85,
